id,x,y
0,12.582112,12.202869
1,15.31229,48.318214
2,17.20793,54.911777
3,13.019652,11.896829
4,12.806281,12.046074
5,4.705496,23.94512
6,15.736809,49.795296
7,17.684538,5.2678266
8,11.872067,40.068188
9,3.4131992,21.037764
10,5.9713497,26.79299
11,18.423857,59.128918
12,15.283741,48.217575
13,8.363041,15.153931
14,11.912096,12.671519
15,12.652768,12.153449
16,17.581982,5.4157557
17,18.179045,58.279846
18,13.821786,44.454582
19,17.20793,54.911777
20,17.618244,56.334866
21,12.19958,40.805016
22,16.288382,51.714447
23,19.618797,5.0394053
24,17.20793,54.911777
25,17.20793,54.911777
26,5.9010315,26.634789
27,17.052423,54.372456
28,12.560865,41.617817
29,15.700406,49.668636
30,17.20793,54.911777
31,13.587147,43.926716
32,17.072258,54.441254
33,13.825042,44.461903
34,12.67984,12.134512
35,8.458568,15.087109
36,10.910378,37.904617
37,15.884442,50.308975
38,17.20793,54.911777
39,3.4460409,20.73616
40,15.036067,47.339798
41,16.016678,50.76909
42,14.190446,45.28398
43,12.813913,42.18712
44,11.236475,13.144085
45,15.001886,47.21865
46,7.117131,29.370722
47,3.4844282,20.614134
48,8.674105,32.87353
49,12.664752,41.85153
50,8.891331,33.362244
51,15.739306,49.803986
52,14.226056,45.364094
53,16.18469,51.35367
54,14.88887,46.855267
55,17.20793,54.911777
56,3.716088,21.719194
57,17.20793,54.911777
58,24.827868,4.3133984
59,4.768235,24.086271
60,14.282802,45.49176
61,3.4623497,20.68432
62,24.71482,4.355958
63,6.876748,28.82992
64,17.20793,54.911777
65,17.20793,54.911777
66,12.576805,12.206584
67,3.6657617,20.037731
68,4.3171062,23.071344
69,17.19774,54.876453
70,17.313026,55.276283
71,3.5271165,20.478437
72,3.663389,21.60063
73,15.026997,47.307655
74,3.4214847,20.814217
75,16.187069,51.361942
76,15.612749,49.363632
77,17.20793,54.911777
78,16.560186,6.8865967
79,18.36019,58.908096
80,15.30697,48.299698
81,13.083636,11.852076
82,15.004066,47.22638
83,4.0315,18.87518
84,3.691694,19.955307
85,14.298131,45.526257
86,7.918812,31.174307
87,12.444919,41.356964
88,12.173168,40.74559
89,24.822693,4.316148
90,17.20793,54.911777
91,12.754319,42.053036
92,13.928774,44.695286
93,13.891927,44.61238
94,12.731997,12.098032
95,10.755109,37.555298
96,13.616391,43.992496
97,10.159232,36.214714
98,18.163816,58.22702
99,11.780611,12.763487
100,24.82167,4.3166933
101,17.20793,54.911777
102,15.580791,8.296098
