id,x,y
0,13.186685,11.020546
1,13.047222,45.14346
2,16.050014,59.690086
3,10.85475,13.779759
4,10.557345,14.131661
5,8.307361,22.181807
6,13.598558,47.81434
7,18.776257,5.14701
8,11.641102,38.331703
9,8.372684,22.49826
10,10.231386,31.502516
11,16.178013,60.31019
12,13.135832,45.572723
13,11.116447,13.470104
14,12.245236,12.13449
15,9.357396,15.5514765
16,19.835878,4.7074685
17,15.929001,59.103832
18,12.286346,41.457497
19,16.050014,59.690086
20,16.084063,59.85506
21,11.52782,37.78293
22,13.706301,48.3363
23,19.29055,4.9336777
24,16.050014,59.690086
25,16.050014,59.690086
26,10.239383,31.541248
27,14.373003,51.566025
28,11.775305,38.981827
29,13.43889,47.040844
30,16.050014,59.690086
31,12.322346,41.631893
32,13.969225,49.60999
33,12.32489,41.64421
34,10.349102,14.378061
35,9.900551,14.908804
36,11.33765,36.861656
37,13.568396,47.66823
38,16.050014,59.690086
39,8.342543,22.352253
40,13.086317,45.332867
41,13.590469,47.775158
42,15.138489,55.27434
43,11.986694,40.005867
44,11.016965,13.587821
45,13.028776,45.054108
46,10.360179,32.126423
47,8.624376,23.71756
48,10.45081,32.56549
49,11.749348,38.856075
50,11.329545,36.822403
51,13.368942,46.70199
52,12.562017,42.79296
53,15.661465,57.807808
54,13.055248,45.182365
55,16.050014,59.690086
56,9.032442,25.694378
57,16.050014,59.690086
58,25.81438,5.455261
59,9.366854,27.314398
60,15.163668,55.396317
61,8.286596,22.08122
62,25.800056,5.4429045
63,10.018964,30.473457
64,16.050014,59.690086
65,16.050014,59.690086
66,10.352171,14.37443
67,8.118074,21.26484
68,8.439862,22.823698
69,14.455917,51.96771
70,14.417927,51.783657
71,8.477934,23.00813
72,8.593838,23.56961
73,12.948406,44.664753
74,8.798371,24.560453
75,13.557329,47.614624
76,15.448687,56.77704
77,16.050014,59.690086
78,20.501917,4.435339
79,15.740461,58.190517
80,13.420252,46.95057
81,11.0341625,13.567474
82,12.97109,44.77463
83,7.5647326,18.582203
84,7.5584126,18.549978
85,11.965992,39.905586
86,10.119239,30.959232
87,11.809242,39.146236
88,11.743267,38.826626
89,25.066849,5.312565
90,16.050014,59.690086
91,11.644495,38.348133
92,12.166035,40.87468
93,12.305405,41.54982
94,10.761623,13.889948
95,11.834686,39.269505
